TITLE,HABITAT,TREATMENT,SURVIVAL,ADULTS,COVER,SEEDS,YEAR,SEEDBANK,LAMBDA,,
Ecological genetics of Bromus tectorum III. The demography of reciprocally sown populations,Pinus,Control,49.9,,,9.44,1987,,,,
Ecological genetics of Bromus tectorum III. The demography of reciprocally sown populations,Abies,Control,32.48,,,0.56,1987,,,,
Ecological genetics of Bromus tectorum III. The demography of reciprocally sown populations,Tsuga,Control,15.45,,,15.56,1987,,,,
Effects of Targeted Grazing and Prescribed Burning on Community and Seed Dynamics of a Downy Brome (Bromus tectorum)– Dominated Landscape,Sagebrush,Control,,,,,2006,2571.43,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2008,8917,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2009,3750,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2009,3354,,,
Control of Downy Brome (Bromus tectorum) with Herbicides and Perennial Grass Competition,NA,Control,,,43,,1993,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,45.85,,2001,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,17.73,,2002,,,,
Control of Downy Brome (Bromus tectorum) with Herbicides and Perennial Grass Competition,NA,Control,,,43,,1993,,,,
Seed banks of Bromus tectorum-dominated communities in the Great Basin,Sagebrush,Control,,,,,1997,4874,,,
Seed banks of Bromus tectorum-dominated communities in the Great Basin,Sagebrush,Control,,,,,1998,8650,,,
Recovery of sagebrush-grass vegetation following wildfire,Sagebrush,Control,,,,,,,,,
Recovery of sagebrush-grass vegetation following wildfire,Sagebrush,Control,,,11,,,,,,
Recovery of sagebrush-grass vegetation following wildfire,Sagebrush,Control,,,24,,,,,,
Effect of imazapic on cheatgrass and native plants in Wyoming Big Sagebrush restoration for Gunnison Sage-grouse,Sagebrush,Control,,,11.36,,2006,,,,
Effect of imazapic on cheatgrass and native plants in Wyoming Big Sagebrush restoration for Gunnison Sage-grouse,Sagebrush,Control,,,22.21,,2007,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,45.85,,2001,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,17.73,,2002,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,35.21,,2003,,,,
Impact of prescribed fire and other factors on cheatgrass persistence in a Sierra Nevada ponderosa pine forest,Pinus,Control,,,15.57,,2004,,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,19.9,,2008,,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,22.2,,2008,,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,1032,,,2008,,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,535,,,2008,,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2008,8917,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2009,3750,,,
Case study: reducing cheatgrass (Bromus tectorum) fuel loads using fall cattle grazing,Sagebrush,Control,,,,,2009,3354,,,
,,,,,,,,,,,
,,,,,,,,,,,
